gene,module,GS
GBP7,yellow,0.304909799166815
SNORD116-1,grey,0.381822606716352
IL17B,turquoise,0.297182884965742
NDST3,turquoise,0.350604755319041
FCRL6,turquoise,-0.0360296175706491
DGAT2,turquoise,0.387166619539403
SNORD24,grey,0.0953286425604316
KLHL6,turquoise,0.270472098860232
TFAMP1,turquoise,-0.164625368588963
ITGB2,yellow,0.653298660884826
FABP5P3,turquoise,-0.198375990248434
CD300LB,yellow,0.319473993566532
HCG23,turquoise,-0.0603765894867616
EPCAM,turquoise,0.386902446395345
KIF17,turquoise,-0.205222054006202
LINC00051,grey,-0.282154770842492
LOC339807,yellow,0.137117235523181
MIR4796,blue,-0.0900821573297436
TMEM176B,turquoise,0.43792010016154
CD300E,turquoise,0.288002220706727
CFHR1,turquoise,-0.230485550880558
ANKRD20A5P,turquoise,0.135058591864762
CNTN1,yellow,0.362027441591583
LOC283710,turquoise,-0.141862983256311
SYNJ2-IT1,green,-0.397921753452226
GALR3,green,-0.361346189954679
TRPC3,turquoise,-0.0778185377464169
ZNF32-AS1,blue,0.106603587062133
IFNA22P,blue,0.37087054128499
CARD10,yellow,0.279285772994277
SNORA2A,blue,-0.107033942513495
SNORD110,blue,0.07503798579654
FLJ30679,green,-0.429184789384087
CBLN4,turquoise,0.435007684008576
SLC25A47,grey,-0.135016920513248
CDH16,grey,-0.104617916840081
SLC5A5,turquoise,-0.00395338893826531
MME,yellow,0.596450360255675
LST1,turquoise,0.129941963155449
CSF3R,turquoise,-0.105469536069892
MRO,turquoise,-0.00529190166285639
RGSL1,turquoise,0.085194755667499
DDN,turquoise,0.0689900483645056
HIST1H3E,blue,-0.0863038343798072
DHH,green,-0.480762390662137
COLEC10,grey,-0.0907327691579115
PLCXD2,grey,0.0697645751210421
SPATA19,yellow,0.138993341038998
BTNL2,turquoise,0.0109462688125838
MIR26B,grey,-0.264336985768748
RAB44,green,-0.470735957958122
LOC283856,turquoise,-0.0333888785218022
ALG1L,grey,0.0872517838500596
MIR933,blue,-0.210677201725193
CSTF3-AS1,turquoise,0.154455635251902
ACE,turquoise,0.217094590688926
SLC4A1,turquoise,0.352905198201126
SNORD18B,blue,-0.0268111963176111
BMP7,turquoise,0.277814372974575
ST3GAL6-AS1,grey,-0.102808303334895
HNF4G,grey,0.370089000001521
MIR5687,blue,-0.260924717732082
TGFBI,brown,0.750569363507712
ALOXE3,turquoise,-0.0125070544209444
KC6,turquoise,0.316059468756263
SNX10,brown,0.726391526461656
ACTA1,grey,-0.193805871417042
SLC10A4,turquoise,0.0393603465728963
LOC100289092,turquoise,0.0419294191509574
SNORD36B,blue,-0.0395480084944782
TRHDE,turquoise,0.306424962080767
