pathway,k,z_meta,delta_mean,concord,P_meta,FDR_meta
GOBP_REGULATION_OF_COAGULATION,4,4.40750089971649,0.111950443528592,0.75,1.04570166561457e-05,0.000381264022080923
KEGG_DNA_REPLICATION,4,-4.40567447313757,-0.226585311421635,1,1.05455231224535e-05,0.000381264022080923
GOBP_COLLAGEN_CATABOLIC_PROCESS,4,4.40479061103678,0.189344659401651,0.75,1.05886104403908e-05,0.000381264022080923
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,4,-4.40257766532464,-0.112870064309437,1,1.06972277184753e-05,0.000382500177239094
GOBP_GLUCAN_BIOSYNTHETIC_PROCESS,4,-4.39887376489734,-0.15635571736546,1,1.08814094106764e-05,0.000386402600383262
GOBP_REGULATION_OF_FAT_CELL_DIFFERENTIATION,4,-4.3963594995982,-0.127821347285625,1,1.10081558622933e-05,0.000388225989965398
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS,4,-4.39284200768451,-0.252790475370634,0.75,1.11878433145232e-05,0.00039187894711891
REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION,4,4.38966566891716,0.108995332237733,0.75,1.13525063139276e-05,0.00039495983115144
REACTOME_COLLAGEN_DEGRADATION,4,4.37941633420619,0.245275270183088,0.75,1.18997596714446e-05,0.000411220554015223
GOBP_HISTONE_H3_K9_ACETYLATION,3,-4.37464208134414,-0.251445327208957,1,1.21631880705563e-05,0.000417521702501964
GOBP_REGULATION_OF_PROTEIN_DEACETYLATION,4,-4.37216414036982,-0.183315422160826,1,1.23020978176659e-05,0.000419493388497761
GOBP_CELLULAR_GLUCAN_METABOLIC_PROCESS,4,-4.36949897530983,-0.150727509129462,1,1.24531924435264e-05,0.000421851894024456
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,4,4.35749881014942,0.138046406212967,1,1.3155721362054e-05,0.000442737315641934
GOBP_COLLAGEN_METABOLIC_PROCESS,4,4.35350497781829,0.143651925285234,0.75,1.33978051816865e-05,0.000447956486237037
GOBP_RENAL_WATER_HOMEOSTASIS,4,4.35043738085335,0.179258365024336,0.75,1.35866251804755e-05,0.000451338922930763
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,4,4.33495798439194,0.291430024633221,0.75,1.45787965023314e-05,0.00048119373840067
KEGG_O_GLYCAN_BIOSYNTHESIS,4,4.33003117983814,0.229975089044209,0.75,1.49088230638021e-05,0.000488952420098834
GOBP_AUTOPHAGY_OF_NUCLEUS,3,-4.32671408409189,-0.261707578880814,1,1.5135021384652e-05,0.000493229272845401
GOBP_LUNG_EPITHELIUM_DEVELOPMENT,4,-4.31871310238374,-0.159868741144163,1,1.56941638072055e-05,0.000508234273228308
GOBP_REGULATION_OF_TRANSPOSITION,4,-4.31390374092804,-0.172121262324411,1,1.6039680626485e-05,0.000516176972161069
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,4,4.30811067770985,0.138043924023353,1,1.64654992204238e-05,0.000526589164509083
GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION,4,-4.30354837829644,-0.203010311243317,1,1.68084123707423e-05,0.000534237748746619
REACTOME_FRS_MEDIATED_FGFR1_SIGNALING,4,4.29728543505845,0.125292698176055,0.75,1.72902490662277e-05,0.000546180935227034
