pathway,k,z_meta,delta_mean,concord,P_meta,FDR_meta
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,3,-3.50321283927985,0.00215894362655103,0.666666666666667,0.000459681999742068,0.0374750277884962
GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION,3,-3.49251475767746,-0.0878943377622202,1,0.000478495154788457,0.0383992361717737
GOBP_NUCLEAR_MIGRATION,3,-3.48358270448689,-0.194424556767636,1,0.000494750232909416,0.0390928799418886
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR,3,-3.47533525092208,-0.135878813445256,1,0.000510215280901984,0.0395615085261624
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION,3,-3.47226498425391,-0.0440078760727603,0.666666666666667,0.000516086657175406,0.0395615085261624
REACTOME_MITOTIC_PROMETAPHASE,3,-3.46416293719768,-0.146876773243117,1,0.000531884237819708,0.0396733200220091
GOBP_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS,3,-3.46206287530139,-0.0362615920001252,0.333333333333333,0.000536051908394002,0.0396733200220091
GOBP_NEGATIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,3,-3.45862700707846,-0.0437788142463712,0.666666666666667,0.000542936221908071,0.0396733200220091
REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,3,-3.4559075063469,-0.0564364701054087,0.666666666666667,0.000548443481612665,0.0396733200220091
GOBP_NEGATIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS,3,3.45146232865362,0.0463868818805287,0.666666666666667,0.000557557584784631,0.0397724410479704
KEGG_RENAL_CELL_CARCINOMA,3,-3.43992152832294,-0.036588197385927,0.666666666666667,0.000581882872186583,0.0409390470075382
GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION,3,-3.43569896205553,-0.01387070449063,0.333333333333333,0.00059102730616765,0.0410204897902304
KEGG_COLORECTAL_CANCER,3,-3.42917546277604,-0.0839315312991842,1,0.000605417994682996,0.0414590242758915
GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY,3,-3.42264021706785,-0.0895400882856843,1,0.000620161028895139,0.0419098295316504
