pathway,family
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,196
REACTOME_OPIOID_SIGNALLING,197
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB,197
REACTOME_CA_DEPENDENT_EVENTS,197
REACTOME_G_PROTEIN_MEDIATED_EVENTS,197
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,198
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,199
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,199
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX,200
REACTOME_IRS_MEDIATED_SIGNALLING,201
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION,202
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX,200
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,203
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,193
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS,204
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,205
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,120
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,206
REACTOME_PROLACTIN_RECEPTOR_SIGNALING,207
REACTOME_SIGNALING_BY_NODAL,208
REACTOME_FERTILIZATION,209
REACTOME_MEIOTIC_SYNAPSIS,210
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,182
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE,201
REACTOME_SIGNALING_BY_ERBB2,211
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,211
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,120
REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS,212
REACTOME_SIGNALING_BY_ERBB4,213
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,120
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,120
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING,211
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,213
REACTOME_INTERLEUKIN_7_SIGNALING,214
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,215
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING,201
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS,216
REACTOME_POTASSIUM_CHANNELS,217
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS,217
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX,218
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1,218
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION,219
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,219
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,114
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS,220
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,221
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,222
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,222
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,222
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,223
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,86
REACTOME_SIGNALING_BY_SCF_KIT,224
REACTOME_REGULATION_OF_KIT_SIGNALING,224
REACTOME_COLLAGEN_DEGRADATION,225
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE,226
REACTOME_BETA_DEFENSINS,227
REACTOME_DEFENSINS,227
REACTOME_REPRODUCTION,210
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,225
REACTOME_COLLAGEN_FORMATION,225
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,57
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,57
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,57
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,57
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,57
REACTOME_SYNTHESIS_OF_PA,228
REACTOME_SYNTHESIS_OF_PC,229
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,56
REACTOME_INOSITOL_PHOSPHATE_METABOLISM,103
REACTOME_PI_METABOLISM,230
REACTOME_PHOSPHOLIPID_METABOLISM,56
REACTOME_DAG_AND_IP3_SIGNALING,197
REACTOME_MEIOSIS,210
REACTOME_CELL_CELL_COMMUNICATION,231
REACTOME_SIGNALING_BY_ACTIVIN,208
REACTOME_G0_AND_EARLY_G1,218
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,232
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES,233
REACTOME_GLUCURONIDATION,79
REACTOME_GLUTATHIONE_CONJUGATION,99
REACTOME_ELASTIC_FIBRE_FORMATION,234
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS,235
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,115
REACTOME_SIGNALING_BY_NOTCH,236
REACTOME_TELOMERE_MAINTENANCE,210
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,237
REACTOME_METABOLISM_OF_NUCLEOTIDES,238
REACTOME_MITOCHONDRIAL_BIOGENESIS,239
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA,206
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS,206
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,240
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS,241
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS,242
REACTOME_SULFUR_AMINO_ACID_METABOLISM,243
REACTOME_HIV_LIFE_CYCLE,244
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION,245
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,55
REACTOME_HIV_INFECTION,244
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,244
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,246
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS,247
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,86
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,216
REACTOME_TRIGLYCERIDE_CATABOLISM,248
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,249
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,53
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,250
