pathway,z_OA,FDR_OA,z_MSC,FDR_MSC,same_dir,score
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC,-3.84584241905606,0.0023520741295811,-2.38041298140029,0.188055732535739,TRUE,2.94067384966892
GOBP_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY,2.91520835588242,0.0245009100072126,2.93942075102383,0.10793004595737,TRUE,2.92726448708105
GOBP_PROTEIN_TARGETING_TO_PEROXISOME,-3.02157924838405,0.0195421136202053,-2.81690450928546,0.12208639208908,TRUE,2.91565432506534
GOBP_THYROID_HORMONE_GENERATION,4.40954221806359,0.000380986878695488,2.16790929431083,0.233085331212696,TRUE,2.90674512467676
GOBP_CELLULAR_RESPONSE_TO_STEROL_DEPLETION,-3.29519934679084,0.0103561113955808,-2.59803977066096,0.14796428194666,TRUE,2.9053831974564
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,-3.42515574738096,0.0075328285131758,-2.48364192159563,0.165688099997202,TRUE,2.8793879495498
KEGG_MELANOMA,3.39561643744493,0.00814379114740501,2.47504636053993,0.166881018532056,TRUE,2.86315477297469
GOBP_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION,2.75191867675207,0.0345095018456615,2.97010299733505,0.106659237658179,TRUE,2.85685108368542
GOBP_AMINO_SUGAR_METABOLIC_PROCESS,3.27455865823954,0.0107448268783174,2.53299432207431,0.155722397457039,TRUE,2.856431449437
GOBP_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,-2.58497078538387,0.0492097099439931,-3.16959540355605,0.0878604133797331,TRUE,2.84758616050907
REACTOME_COLLAGEN_DEGRADATION,4.37941633420619,0.000411220554015226,2.10332320045714,0.250009803987746,TRUE,2.84180104134793
REACTOME_PERK_REGULATES_GENE_EXPRESSION,-5.22184223048956,2.22476824578453e-05,-1.94619253172041,0.286860070586341,TRUE,2.83556391338364
GOBP_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION,-3.051871001736,0.0180833378193152,-2.63932823736633,0.141739281902788,TRUE,2.83064745171416
REACTOME_OTHER_INTERLEUKIN_SIGNALING,2.89190613274697,0.0255669701305005,2.76642908388522,0.125037116367193,TRUE,2.82777634311279
GOBP_POSITIVE_REGULATION_OF_DNA_REPLICATION,-3.22195203944778,0.0121627638929402,-2.51531077327964,0.160312456169313,TRUE,2.82511397519915
REACTOME_NCAM1_INTERACTIONS,4.10949908887214,0.00105240856661793,2.14613026809156,0.235123917981424,TRUE,2.81970682022757
REACTOME_MEIOTIC_SYNAPSIS,-3.66841101186256,0.00385484168470508,-2.28733749564745,0.206240838734121,TRUE,2.81774626524225
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,-5.3692269285287,1.16330428796068e-05,-1.90883236479329,0.294720439040236,TRUE,2.81639753732131
GOBP_CELLULAR_RESPONSE_TO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS,2.57808426696394,0.0498588645282733,3.09257630310687,0.0900498387395296,TRUE,2.81199067124759
GOBP_PLASMA_MEMBRANE_ORGANIZATION,3.45944438356059,0.00695039306061538,2.36653807362539,0.189872562090682,TRUE,2.81048111883262
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,5.38774442513744,1.08049356505683e-05,1.89481319942669,0.298489702325396,TRUE,2.80362196310091
