pathway,z_OA,d_OA,P_OA,FDR_OA,z_OP,d_OP,P_OP,FDR_OP,chisq,P_joint,FDR_joint,same_dir,direction,conv_score
GOBP_DEFENSE_RESPONSE_TO_FUNGUS,1.35249174439013,0.129072980787051,0.176218057993024,0.356830703814569,-2.03125082956641,0.0140722473829789,0.0422295565256636,0.298747937074116,9.80133599291176,0.0439104725704691,0.127741852060956,FALSE,Discordant,0
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM,2.10022306242581,0.104139970673742,0.035709223545666,0.119239164744899,-2.67541387850111,-0.028700418381939,0.00746370464959766,0.13450381431696,16.4600992943046,0.00246002142491122,0.019302121629015,FALSE,Discordant,0
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,1.32164647810883,0.0517365176737284,0.186285898796161,0.369913649402789,-0.389487032010105,0.0319103597262143,0.696915901790384,0.898433752910495,4.08312645597012,0.394872786676239,0.54775471011656,FALSE,Discordant,0
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT,-0.932243759189307,-0.0155876386776961,0.351210565499765,0.548993078858011,2.06835983618535,0.087086391721644,0.0386061990012922,0.28612040125633,8.60142350638746,0.0718718470040387,0.176934147928677,FALSE,Discordant,0
GOBP_DEFINITIVE_HEMOPOIESIS,-4.55103901140057,-0.165104531322134,5.33816483211431e-06,0.00023517953515915,0.079342102251627,-0.0441973278078675,0.936760519080416,0.97937293710188,24.4119124809837,6.60374678490436e-05,0.00173100284895498,FALSE,Discordant,0
GOBP_DENDRITE_DEVELOPMENT,1.91234669154409,0.052265874855752,0.0558317406876747,0.162325032637401,-1.41842021095252,-0.0289693372268276,0.156068118354866,0.501036717924768,9.48575090541409,0.050040859470566,0.137489721832289,FALSE,Discordant,0
GOBP_DENDRITE_EXTENSION,2.35881257903082,0.132485947743631,0.0183335124565122,0.0761891211728519,-1.39113377349808,-0.0969883140527512,0.164184865097049,0.512013682028756,11.6115737438183,0.0204859988099969,0.0787527872186736,FALSE,Discordant,0
GOBP_DENDRITE_MORPHOGENESIS,1.12052859888573,0.031782535051711,0.262488572534958,0.455583114698376,-1.12206804730413,-0.0347272343701521,0.261833508385165,0.619427406294891,5.35518834498191,0.252754809752787,0.407874507987033,FALSE,Discordant,0
GOBP_DENDRITIC_SPINE_DEVELOPMENT,1.45723208556128,0.0779993188511433,0.145052326559035,0.312499761277184,-1.01321974622193,-0.0711289590229024,0.310955210704724,0.66435867395867,6.19753424608106,0.184873976110298,0.332935577557428,FALSE,Discordant,0
GOBP_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,-2.31021023598205,-0.0930695759658927,0.0208765176269125,0.0830063237536465,1.28664772329188,0.100404897134028,0.198217101743666,0.545575045313755,10.9750453714402,0.0268459061604535,0.0933826995318604,FALSE,Discordant,0
GOBP_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS,0.503044887933394,-0.0306698164171351,0.614932713061878,0.769266579048924,-0.0287550065110119,-0.00387868470920003,0.977059985629308,0.991285439780628,1.01889931572538,0.906916823212392,0.941533389827927,FALSE,Discordant,0
GOBP_DETECTION_OF_ABIOTIC_STIMULUS,-0.742108213507629,0.00891068913388153,0.458021773825726,0.644359047384881,0.233346813799438,0.0164434308449639,0.81549210960338,0.944176617430784,1.969604174788,0.741349665064703,0.826006473298659,FALSE,Discordant,0
GOBP_DETECTION_OF_BIOTIC_STIMULUS,2.02305750932655,0.148267978158609,0.0430672186510601,0.13488631924228,-0.364462091277143,0.0253690195946024,0.715512976764218,0.9067048232571,6.95949740584256,0.138044145346395,0.276087499670229,FALSE,Discordant,0
GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS,0.681565082245058,0.0982381837496526,0.495514000579186,0.676584881724271,-0.118941875125141,0.0169716831732712,0.905321405669245,0.969746358899944,1.60324984819786,0.808207916786715,0.873099263511422,FALSE,Discordant,0
GOBP_DETECTION_OF_LIGHT_STIMULUS,-0.379438122818803,0.000724262464810793,0.704362545450631,0.829621251350168,0.975619411497684,0.0938778042493846,0.329253101440812,0.678260100258959,2.92278118947269,0.570829837231349,0.69610842250358,FALSE,Discordant,0
GOBP_DETECTION_OF_LIGHT_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION,-0.362778956410691,0.00546413078930831,0.716770012864753,0.838029418901797,0.584556388015481,0.0803706733462075,0.558846039571053,0.822555932312738,1.82976303570185,0.767032759199442,0.844854937685604,FALSE,Discordant,0
GOBP_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION,0.813542213807336,0.0230389118195591,0.415907253665777,0.608913063743353,-0.0281005916235867,0.0114578250970002,0.977581922213567,0.991285439780628,1.79993234847889,0.77249473075904,0.847700896320793,FALSE,Discordant,0
GOBP_DETECTION_OF_OTHER_ORGANISM,0.90437456319583,0.0750329223970034,0.365796821424919,0.563199236510366,-0.405279284356443,-0.0245762884440855,0.685272231942913,0.894574177514444,2.76723266643582,0.597502069837692,0.715447166679382,FALSE,Discordant,0
GOBP_DETECTION_OF_TEMPERATURE_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN,0.0685682137824139,0.00731861132847206,0.945333321022853,0.970592476559655,-0.233744832705862,-0.018087700448892,0.815183080232717,0.944176617430784,0.521120491333863,0.971412594246053,0.981187925859542,FALSE,Discordant,0
GOBP_DETERMINATION_OF_ADULT_LIFESPAN,-1.32349859540346,-0.0821155962517946,0.1856696230864,0.369259516906864,1.14085109279078,-0.0302962671157246,0.253931894610163,0.607008341576572,6.10895116791398,0.191158140927958,0.340517265829062,FALSE,Discordant,0
GOBP_DEVELOPMENTAL_CELL_GROWTH,3.03329315276659,0.0861998873768872,0.00241900483033951,0.0190159631624704,-1.15555313966476,-0.0292832917644452,0.247863984837881,0.602474882218341,14.8385483640546,0.00504806357791656,0.0302943696805218,FALSE,Discordant,0
GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS,2.52769745427055,0.0772310178523581,0.0114813242809684,0.0555614085739721,-0.400743712347676,-0.015628842249946,0.688608824197783,0.894617606734344,9.6802309054503,0.046172777471519,0.131208084660473,FALSE,Discordant,0
GOBP_DEVELOPMENTAL_INDUCTION,-0.126356097289864,0.0365603157993034,0.899450052827844,0.945697063973167,1.8758870014533,0.0757264024638458,0.0606707979103102,0.342495681651803,5.81652908061845,0.213275373180569,0.366404973571418,FALSE,Discordant,0
GOBP_DEVELOPMENTAL_MATURATION,1.30407466269054,0.0190690702699924,0.192208126856321,0.377519352939434,-0.403478279987005,0.025015182451036,0.686596409992321,0.894617606734344,4.0503702533094,0.399231895914841,0.552174396762384,FALSE,Discordant,0
GOBP_DEVELOPMENTAL_PIGMENTATION,3.27417771751,0.0654489263170534,0.00105969941971502,0.0107448268783174,-2.66186254335203,-0.0410140981220711,0.00777096053176282,0.136266519652672,23.4142629581175,0.00010464173294109,0.0023272454607444,FALSE,Discordant,0
GOBP_DE_NOVO_PROTEIN_FOLDING,-0.419378606471832,-0.044328789507833,0.674939456630446,0.811787727678152,0.201032205340349,-0.0959397345214327,0.840673391872458,0.953407779557039,1.13336867464452,0.888942399353057,0.930318493654761,FALSE,Discordant,0
GOBP_DICARBOXYLIC_ACID_TRANSPORT,1.81358361100196,0.0625813644795131,0.0697418555055396,0.190302498144157,-0.0509635543482493,0.0213169910893231,0.959354562206354,0.986376750743656,5.40889836743058,0.247854201126102,0.402792933985528,FALSE,Discordant,0
GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT,-1.65961938091102,-0.0172618232930217,0.0969910469101024,0.239288632742673,0.315784700376094,0.037802881518138,0.752165931686324,0.92125029586633,5.23586986033816,0.263940513629812,0.420294321200257,FALSE,Discordant,0
GOBP_DIGESTIVE_TRACT_MORPHOGENESIS,-1.90367886538408,0.00125851671720235,0.0569520205823537,0.164789056663425,0.817225984017463,0.00868129195375439,0.413799295922022,0.738548410172534,7.49584064989587,0.111892842496428,0.241289808264889,FALSE,Discordant,0
GOBP_DIOL_BIOSYNTHETIC_PROCESS,3.58251921798157,0.138059315453942,0.00034029657300756,0.00496370270372784,-0.0310108816144491,-0.0352185981506991,0.975260861574061,0.991084247139766,16.0214866808981,0.00299046683841706,0.0217993829042535,FALSE,Discordant,0
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC,1.05447422033493,-0.0188858260367461,0.291665857362091,0.487593344012146,-0.00505785677700979,-0.0166494857483023,0.995964431373142,0.999362314080871,2.47238037912597,0.649588248966624,0.754423083453203,FALSE,Discordant,0
GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR_RESULTING_IN_CELL_CYCLE_ARREST,-4.00556751296399,-0.116986343979514,6.18687591567874e-05,0.00144145810361221,1.32209849275241,0.0127254015993907,0.186135355639778,0.534532972850216,22.7435527114182,0.000142472924801971,0.00286020050227448,FALSE,Discordant,0
GOBP_DNA_DEALKYLATION,-2.79034230647311,-0.106382546710011,0.0052652341973043,0.0315975418204194,0.452365968644525,-0.0303851014183582,0.651005359038864,0.875736910430488,11.3517341145265,0.0228828406660253,0.083887167340161,FALSE,Discordant,0
GOBP_DNA_LIGATION,-0.787424045247905,-0.0340408958053295,0.431033675453729,0.621196452288881,0.44558406647478,0.0451227880604241,0.655897722209149,0.877720349470086,2.52663894417467,0.639872114643085,0.747601161196159,FALSE,Discordant,0
GOBP_DNA_METHYLATION_INVOLVED_IN_GAMETE_GENERATION,-2.34681142874828,-0.100675219974206,0.0189348350097372,0.0775003700040834,0.622937891208072,0.0647015058249374,0.533325336896725,0.808896068867971,9.19075116805433,0.0565044933313266,0.148961037917239,FALSE,Discordant,0
GOBP_DNA_METHYLATION_OR_DEMETHYLATION,-2.66370696435602,-0.0547950056061277,0.0077284853954749,0.042199333299364,0.309784949980388,-0.0390583287146299,0.756724497175999,0.923826246136423,10.2831968123606,0.0359181201539813,0.112863211092541,FALSE,Discordant,0
GOBP_DNA_PACKAGING,-2.8306334766478,-0.108355894451073,0.00464559229550391,0.0291353894391591,0.136154115874391,-0.0353302259908495,0.891699447518821,0.966227323188731,10.9729250955627,0.0268699900235458,0.0933826995318604,FALSE,Discordant,0
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING,0.25773129122974,-0.00345769184880213,0.796614294813704,0.886822691712234,-1.38938090615744,-0.211962297403061,0.164716953282508,0.512720072959835,4.06182275277807,0.397703702191029,0.550902908283223,FALSE,Discordant,0
GOBP_DNA_TEMPLATED_TRANSCRIPTION_TERMINATION,0.0641745739498907,-0.0382450667863328,0.948831222701009,0.971750388972976,-1.9955071359227,-0.163841619886971,0.0459875966491528,0.306345390907975,6.26381580125084,0.180293601241229,0.327383649104543,FALSE,Discordant,0
GOBP_DNA_UNWINDING_INVOLVED_IN_DNA_REPLICATION,0.970644397386056,-0.0143840687902959,0.331725389219324,0.530696814454548,-0.0983396880598928,-0.0842163668058292,0.921662564380144,0.974100457768741,2.37004779577718,0.668046743795398,0.769420903817278,FALSE,Discordant,0
GOBP_DOPAMINERGIC_NEURON_DIFFERENTIATION,0.571818608723836,-0.0227631467265165,0.567444868993488,0.731967821002697,-0.732732948388735,-0.0703900107098087,0.463721324090254,0.765102070427649,2.67016636662373,0.614445116352794,0.727510565693848,FALSE,Discordant,0
GOBP_DOPAMINE_METABOLIC_PROCESS,-0.917513651444508,-0.0818083102463349,0.358873542689962,0.556325362532231,0.923601430620306,0.00693313652926389,0.355693868719798,0.701299010190786,4.1169400774435,0.390411005259613,0.544401674643986,FALSE,Discordant,0
GOBP_DOPAMINE_SECRETION,1.42785910311976,0.0649355298909238,0.15333241702722,0.32516829294611,-0.316744516465438,0.0997252104419678,0.751437467361251,0.921093754741619,4.32182867555298,0.364199674789831,0.521212490738828,FALSE,Discordant,0
GOBP_DORSAL_SPINAL_CORD_DEVELOPMENT,-2.30182504991942,-0.0829734685315291,0.0213450402907262,0.0842188601202675,1.59111522768327,0.188370344073672,0.11158364613344,0.438177424054687,12.0798333019488,0.0167673737372707,0.0685186944562619,FALSE,Discordant,0
GOBP_DORSAL_VENTRAL_PATTERN_FORMATION,-1.21924556224107,-0.0282458496601375,0.222751003557579,0.414358712903892,0.688073445318389,0.00935049743778192,0.491406531780674,0.783535007784455,4.42436846825762,0.351609856032664,0.509099674204134,FALSE,Discordant,0
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING,-0.129089363942922,-0.0133520175205133,0.897286937934225,0.943857238139191,0.597775201059258,-0.0621170021086263,0.549989939826478,0.819527481787614,1.41246974801845,0.842024844075728,0.898426899040324,FALSE,Discordant,0
GOBP_ECTODERM_DEVELOPMENT,1.71916502905396,0.0808273264404554,0.0855843265774343,0.220889071452235,-1.3331297705244,-0.0441206930017725,0.182489221216711,0.530727429314284,8.31863456572077,0.0805793374397306,0.191745469476762,FALSE,Discordant,0
GOBP_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT,-2.43298877375243,-0.103966349096907,0.0149747651716949,0.0660146111892611,0.150196686851459,-0.00914790941244647,0.880609439754476,0.963110251872087,8.65705976498521,0.0702668949777188,0.173659121491099,FALSE,Discordant,0
GOBP_EMBRYONIC_DIGESTIVE_TRACT_DEVELOPMENT,2.96420314037339,0.136458000289043,0.0030346788452073,0.0220386255201757,-0.717992886942447,-0.0181577015954814,0.472761672656873,0.770829285258433,13.093627115823,0.0108272613193691,0.0509062407199706,FALSE,Discordant,0
GOBP_EMBRYONIC_DIGESTIVE_TRACT_MORPHOGENESIS,2.41644538851061,0.099655834629159,0.0156728770976276,0.0680435448361587,-0.41936369853433,0.0288616179262947,0.67495035013125,0.887565278700637,9.0978795603585,0.0586989816155006,0.153338564831406,FALSE,Discordant,0
GOBP_EMBRYONIC_EYE_MORPHOGENESIS,1.92372233749323,0.0567610675259587,0.0543893965811636,0.159482347947842,-0.246854822237084,-0.0705636172598925,0.805020581041681,0.939251636581116,6.25694699057043,0.180763493052716,0.327818812054688,FALSE,Discordant,0
GOBP_EMBRYONIC_FORELIMB_MORPHOGENESIS,1.60088677017039,0.124800393181758,0.109402000342124,0.258399495303485,-0.383493277506012,-0.0234599017062608,0.701354053753719,0.900088560739406,5.13493710880383,0.273730208403276,0.430062460966513,FALSE,Discordant,0
GOBP_EMBRYONIC_HINDLIMB_MORPHOGENESIS,0.147978905775654,0.0239977118392347,0.882359415699427,0.936644637084491,-0.202226371675981,0.0340740367500636,0.839739757404978,0.953407779557039,0.59963810589597,0.963103893057411,0.975712596835398,FALSE,Discordant,0
GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS,-0.409508178827745,-0.00585735278400393,0.682166765882151,0.816285539746036,0.0949915582939314,-0.00574469233487763,0.924321532105793,0.974407920545023,0.922352831355078,0.921332266903907,0.950374153085868,FALSE,Discordant,0
GOBP_EMBRYONIC_PATTERN_SPECIFICATION,-0.625545699527116,0.00992326306356665,0.531612964614012,0.705483287318955,1.08904413506095,0.00092237775938968,0.276134423397119,0.631937209055486,3.83741411013127,0.428456387234675,0.578479013349405,FALSE,Discordant,0
GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS,-3.69434596381539,-0.120717072258953,0.000220453483090672,0.00358111325224373,0.367520815820018,0.0171850874862035,0.713230567794795,0.905694514114138,17.5155487604489,0.00153425548660852,0.0140867486510934,FALSE,Discordant,0
GOBP_ENDOCARDIAL_CUSHION_DEVELOPMENT,1.74125405159818,0.0439422296208981,0.0816390564806958,0.213776418722345,-0.0912778369865724,-0.0248765795848619,0.927271827985244,0.975391115344667,5.16191204101413,0.271084090032768,0.428165598337737,FALSE,Discordant,0
GOBP_ENDOCRINE_PROCESS,0.725246001939222,-0.00623130014465073,0.468301126046807,0.652050432129531,-0.770380180660983,0.0290558557747526,0.441074406516656,0.75171464566255,3.15437090752257,0.532332194001673,0.665283737513455,FALSE,Discordant,0
GOBP_ENDOCYTIC_RECYCLING,0.94951695666438,0.0433141082917804,0.342357752000022,0.539908136308763,-1.00630705601032,-0.00319306129785885,0.314267887317067,0.665513884905154,4.45881708530127,0.347458677084181,0.504243673944025,FALSE,Discordant,0
GOBP_ENDODERMAL_CELL_DIFFERENTIATION,4.67521144236898,0.155878628507185,2.93650908129383e-06,0.000148236129995901,-2.34921621935354,-0.0106096630719484,0.0188129785992672,0.202990458163522,33.4229947314712,9.78462506322152e-07,8.58825201293196e-05,FALSE,Discordant,0
GOBP_ENDODERM_DEVELOPMENT,2.21565000717532,0.0484774204314633,0.0267154812069607,0.0987494707355638,-1.83006762846489,0.0317750161254181,0.0672398268099063,0.359337757275868,12.6440032145338,0.0131528360677989,0.0578610414495607,FALSE,Discordant,0
GOBP_ENDODERM_FORMATION,4.04604119947136,0.115969222760018,5.20910690257551e-05,0.00128950439621929,-1.65287502384742,0.0105434635319909,0.098356301218852,0.419936770320446,24.3633514212342,6.75361161424859e-05,0.00176116088435483,FALSE,Discordant,0
GOBP_ENDOPLASMIC_RETICULUM_CALCIUM_ION_HOMEOSTASIS,3.68989384047587,0.0454397984420331,0.000224347654053588,0.00362121025304678,-1.63793294331904,0.0878060306074363,0.101435682901638,0.423555827140499,21.3812880591573,0.000266042320221164,0.00436513047980278,FALSE,Discordant,0
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,2.63066352497099,0.0555889926659214,0.00852183611158016,0.0448201574448685,-0.917751610417117,-0.0278661888618853,0.358748921070887,0.703205862583461,11.5805119493715,0.0207591672424699,0.0793207153169602,FALSE,Discordant,0
GOBP_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_ORGANIZATION,0.758839614986665,0.0619151117847588,0.447948504777073,0.636623475323531,-1.54469924553445,-0.188121130250988,0.122419027465262,0.454294888050278,5.80676493141154,0.214051424899967,0.366955662002349,FALSE,Discordant,0
GOBP_ENDOSOMAL_TRANSPORT,0.224809624383179,-0.0114318511388943,0.822127378541006,0.902779669888599,-0.619216014745839,0.0109333612214186,0.535774063090618,0.809231263644542,1.63980533012964,0.801620763722261,0.867390662043232,FALSE,Discordant,0
GOBP_ENDOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY,0.745964917685433,0.04095978978125,0.455688607824587,0.642324583000301,-0.257654364314514,0.10701760004385,0.796673669125328,0.935971454183429,2.02651142675752,0.730882519781628,0.818322484797234,FALSE,Discordant,0
GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS,-1.45860049498343,-0.0585679599699934,0.144675097299141,0.311948105524822,0.719695477466093,0.0893104225857474,0.471712511403671,0.770829285258433,5.36930064792098,0.251459158430541,0.406561803291821,FALSE,Discordant,0
