set,n_input,n_mapped,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,Count,geneID
Core splicing programme,135,135,GO:0000388,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),20/134,22/9907,2.17552886626669e-36,1.39342623884381e-34,20,SF3B4/SNRPB/SNRPE/PRPF31/SNRPD1/DDX23/PRPF4/SNRPF/SART1/SNRPG/SF3B5/SF3B1/PRPF3/SF3B2/SNRPD3/SF3B3/USP39/PRPF8/SNRPD2/PRPF6
Core splicing programme,135,135,GO:1903241,U2-type prespliceosome assembly,19/134,22/9907,1.23310241395383e-33,7.52192472511834e-32,19,SF3A2/SF3A3/SF3B4/SNRPA1/DDX42/SNRPB/SNRPE/SNRPD1/SNRPF/DDX46/SNRPG/SF3B5/SF3B1/SNRPB2/SF3B2/SNRPD3/SF3B3/SF3A1/SNRPD2
Core splicing programme,135,135,GO:0048025,"negative regulation of mRNA splicing, via spliceosome",15/134,15/9907,4.15675973501014e-29,2.42036782752181e-27,15,RNPS1/ACIN1/PCBP4/SNRPB/U2AF2/PTBP1/SNRPE/SNRPD1/SNRPF/SAP18/SNRPG/SNRPD3/C1QBP/PRPF8/SNRPD2
Core splicing programme,135,135,GO:0050686,negative regulation of mRNA processing,15/134,16/9907,6.57580732564222e-28,3.66243877571639e-26,15,RNPS1/ACIN1/PCBP4/SNRPB/U2AF2/PTBP1/SNRPE/SNRPD1/SNRPF/SAP18/SNRPG/SNRPD3/C1QBP/PRPF8/SNRPD2
Core splicing programme,135,135,GO:0033119,negative regulation of RNA splicing,15/134,17/9907,5.52639509496431e-27,2.9497133819372e-25,15,RNPS1/ACIN1/PCBP4/SNRPB/U2AF2/PTBP1/SNRPE/SNRPD1/SNRPF/SAP18/SNRPG/SNRPD3/C1QBP/PRPF8/SNRPD2
Core splicing programme,135,135,GO:1903312,negative regulation of mRNA metabolic process,22/134,74/9907,2.62428983319595e-24,1.34468611052961e-22,22,RNPS1/ACIN1/PCBP4/SNW1/SNRPB/FXR1/U2AF2/PTBP1/HNRNPU/SNRPE/SNRPD1/QKI/SNRPF/SAP18/CIRBP/SNRPG/THRAP3/HNRNPC/SNRPD3/C1QBP/PRPF8/SNRPD2
Mesenchymal splicing leading edge,49,49,GO:0008380,RNA splicing,47/48,267/9907,1.21764327575588e-74,8.56003222856387e-72,47,SYF2/DDX17/DAZAP1/CIRBP/DHX8/SRPK2/SMNDC1/TRA2A/PRPF38B/PQBP1/CDC5L/U2AF1/HNRNPU/SF3A3/SRRM1/RBM15/CTNNBL1/SNRPE/RBM17/THOC2/PRPF18/SON/RBM3/RBM7/CDC40/DDX42/BCAS2/MBNL2/DHX15/NCBP1/RBM39/SF3B1/KHDRBS1/WTAP/FMR1/RBM22/DYRK1A/THOC1/SRPK1/SNRPD1/HNRNPA3/SNRPA1/SNW1/QKI/RBM25/SAP18/SART1
Mesenchymal splicing leading edge,49,49,GO:0006397,mRNA processing,47/48,287/9907,4.98106250628253e-73,1.75084347095831e-70,47,SYF2/DDX17/DAZAP1/CIRBP/DHX8/SRPK2/SMNDC1/TRA2A/PRPF38B/PQBP1/CDC5L/U2AF1/HNRNPU/SF3A3/SRRM1/RBM15/CTNNBL1/SNRPE/RBM17/THOC2/PRPF18/SON/RBM3/RBM7/CDC40/DDX42/BCAS2/MBNL2/DHX15/NCBP1/RBM39/SF3B1/KHDRBS1/WTAP/FMR1/RBM22/DYRK1A/THOC1/SRPK1/SNRPD1/HNRNPA3/SNRPA1/SNW1/QKI/RBM25/SAP18/SART1
Mesenchymal splicing leading edge,49,49,GO:0000375,"RNA splicing, via transesterification reactions",43/48,196/9907,6.57663996097136e-70,1.54112596418762e-67,43,SYF2/DDX17/DAZAP1/CIRBP/DHX8/SRPK2/SMNDC1/TRA2A/PQBP1/CDC5L/U2AF1/HNRNPU/SF3A3/SRRM1/RBM15/CTNNBL1/SNRPE/RBM17/PRPF18/SON/RBM3/RBM7/CDC40/DDX42/BCAS2/DHX15/NCBP1/RBM39/SF3B1/KHDRBS1/WTAP/FMR1/RBM22/DYRK1A/SRPK1/SNRPD1/HNRNPA3/SNRPA1/SNW1/QKI/RBM25/SAP18/SART1
Mesenchymal splicing leading edge,49,49,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",42/48,192/9907,1.1257855936187e-67,1.58285454462789e-65,42,SYF2/DDX17/DAZAP1/CIRBP/DHX8/SRPK2/TRA2A/PQBP1/CDC5L/U2AF1/HNRNPU/SF3A3/SRRM1/RBM15/CTNNBL1/SNRPE/RBM17/PRPF18/SON/RBM3/RBM7/CDC40/DDX42/BCAS2/DHX15/NCBP1/RBM39/SF3B1/KHDRBS1/WTAP/FMR1/RBM22/DYRK1A/SRPK1/SNRPD1/HNRNPA3/SNRPA1/SNW1/QKI/RBM25/SAP18/SART1
Mesenchymal splicing leading edge,49,49,GO:0000398,"mRNA splicing, via spliceosome",42/48,192/9907,1.1257855936187e-67,1.58285454462789e-65,42,SYF2/DDX17/DAZAP1/CIRBP/DHX8/SRPK2/TRA2A/PQBP1/CDC5L/U2AF1/HNRNPU/SF3A3/SRRM1/RBM15/CTNNBL1/SNRPE/RBM17/PRPF18/SON/RBM3/RBM7/CDC40/DDX42/BCAS2/DHX15/NCBP1/RBM39/SF3B1/KHDRBS1/WTAP/FMR1/RBM22/DYRK1A/SRPK1/SNRPD1/HNRNPA3/SNRPA1/SNW1/QKI/RBM25/SAP18/SART1
Mesenchymal splicing leading edge,49,49,GO:0016071,mRNA metabolic process,47/48,454/9907,5.15012138388314e-63,6.03422555478308e-61,47,SYF2/DDX17/DAZAP1/CIRBP/DHX8/SRPK2/SMNDC1/TRA2A/PRPF38B/PQBP1/CDC5L/U2AF1/HNRNPU/SF3A3/SRRM1/RBM15/CTNNBL1/SNRPE/RBM17/THOC2/PRPF18/SON/RBM3/RBM7/CDC40/DDX42/BCAS2/MBNL2/DHX15/NCBP1/RBM39/SF3B1/KHDRBS1/WTAP/FMR1/RBM22/DYRK1A/THOC1/SRPK1/SNRPD1/HNRNPA3/SNRPA1/SNW1/QKI/RBM25/SAP18/SART1
Mesenchymal splicing leading edge,49,49,GO:0043484,regulation of RNA splicing,24/48,109/9907,1.74267370509805e-35,1.75014230669132e-33,24,DDX17/DAZAP1/SRPK2/PQBP1/HNRNPU/SRRM1/RBM15/SNRPE/SON/RBM7/MBNL2/NCBP1/RBM39/KHDRBS1/WTAP/FMR1/RBM22/DYRK1A/SRPK1/SNRPD1/SNW1/QKI/RBM25/SAP18
Mesenchymal splicing leading edge,49,49,GO:0048024,"regulation of mRNA splicing, via spliceosome",21/48,67/9907,1.6297884270706e-34,1.43217658028829e-32,21,DDX17/DAZAP1/SRPK2/HNRNPU/SRRM1/RBM15/SNRPE/SON/RBM7/NCBP1/RBM39/KHDRBS1/WTAP/FMR1/DYRK1A/SRPK1/SNRPD1/SNW1/QKI/RBM25/SAP18
Mesenchymal splicing leading edge,49,49,GO:0050684,regulation of mRNA processing,21/48,84/9907,3.93125134521213e-32,3.0707441063157e-30,21,DDX17/DAZAP1/SRPK2/HNRNPU/SRRM1/RBM15/SNRPE/SON/RBM7/NCBP1/RBM39/KHDRBS1/WTAP/FMR1/DYRK1A/SRPK1/SNRPD1/SNW1/QKI/RBM25/SAP18
Mesenchymal splicing leading edge,49,49,GO:1903311,regulation of mRNA metabolic process,22/48,205/9907,4.85478726655008e-25,3.4129154483847e-23,22,DDX17/DAZAP1/CIRBP/SRPK2/HNRNPU/SRRM1/RBM15/SNRPE/SON/RBM7/NCBP1/RBM39/KHDRBS1/WTAP/FMR1/DYRK1A/SRPK1/SNRPD1/SNW1/QKI/RBM25/SAP18
Mesenchymal splicing leading edge,49,49,GO:0000380,"alternative mRNA splicing, via spliceosome",13/48,44/9907,6.40911023683805e-21,4.09600408772468e-19,13,DDX17/PQBP1/HNRNPU/RBM15/RBM17/RBM7/NCBP1/KHDRBS1/WTAP/FMR1/DYRK1A/RBM25/SAP18
Mesenchymal splicing leading edge,49,49,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",10/48,35/9907,4.40322766333335e-16,2.57955753943612e-14,10,DDX17/HNRNPU/RBM15/RBM7/KHDRBS1/WTAP/FMR1/DYRK1A/RBM25/SAP18
Mesenchymal splicing leading edge,49,49,GO:0000245,spliceosomal complex assembly,9/48,47/9907,7.90895846155648e-13,4.2769213834417e-11,9,SRPK2/SF3A3/SNRPE/DDX42/NCBP1/SF3B1/SRPK1/SNRPD1/SNRPA1
Mesenchymal splicing leading edge,49,49,GO:0022618,protein-RNA complex assembly,11/48,139/9907,4.03830221628693e-11,2.02780461289265e-09,11,SRPK2/SF3A3/SNRPE/PRPF18/DDX42/NCBP1/SF3B1/SRPK1/SNRPD1/SNRPA1/SART1
Mesenchymal splicing leading edge,49,49,GO:0071826,protein-RNA complex organization,11/48,147/9907,7.43579497306499e-11,3.48490924404313e-09,11,SRPK2/SF3A3/SNRPE/PRPF18/DDX42/NCBP1/SF3B1/SRPK1/SNRPD1/SNRPA1/SART1
Mesenchymal splicing leading edge,49,49,GO:1903241,U2-type prespliceosome assembly,6/48,22/9907,6.5877326324882e-10,2.8944850253995e-08,6,SF3A3/SNRPE/DDX42/SF3B1/SNRPD1/SNRPA1
Mesenchymal splicing leading edge,49,49,GO:0022613,ribonucleoprotein complex biogenesis,12/48,300/9907,1.25338331866526e-08,5.18310866483339e-07,12,DDX17/SRPK2/SF3A3/SNRPE/PRPF18/DDX42/NCBP1/SF3B1/SRPK1/SNRPD1/SNRPA1/SART1
Mesenchymal splicing leading edge,49,49,GO:0033120,positive regulation of RNA splicing,5/48,18/9907,1.76158337558657e-08,6.87996173909642e-07,5,DAZAP1/NCBP1/RBM22/DYRK1A/SNW1
