gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
NRDE2,-1.57002623638516,0.116409007637526,0.443217109338328,-0.381730448451754,3
MSTN,-1.56997298074366,0.116421397306831,0.443217109338328,-0.1699493878763,3
SNTA1,1.56979314020826,0.116463244000158,0.443247004821383,0.137923153548087,2
ADGRA2,1.56950279661374,0.116530828340906,0.443333257805737,0.399476600746239,2
RAB3D,1.56940367582188,0.116553908103234,0.443333257805737,0.502312804517916,2
SFTPC,-1.56887474231696,0.11667712823686,0.443672521166642,0.43706524141696,2
HDLBP,-1.56869858486595,0.116718188509618,0.443699259468486,0.247659952283376,2
LIPT1,1.56841636008885,0.116783995509596,0.443806015325439,-0.129850196098492,2
PANK4,1.5682661689878,0.116819027791551,0.443806015325439,0.0113066944093517,2
ATP5PB,1.56808490346665,0.116861319215294,0.443806015325439,0.0150912999193131,2
PODXL2,1.56789765337454,0.116905019535927,0.443806015325439,0.0797701399597494,2
KCTD14,1.56775847749512,0.11693750863695,0.443806015325439,-0.209626087967023,2
GARS1,-1.56770286708847,0.116950492266141,0.443806015325439,-0.0923210813160209,3
TBKBP1,1.56726006225391,0.117053916438206,0.444069251218439,0.684848353479604,2
FBXO42,1.56690895883888,0.11713597330735,0.444118615002022,0.19165256861666,2
CHKB,1.56666760712205,0.117192406142046,0.444118615002022,0.0860507772125664,3
HOXC10,1.56661696904237,0.117204249041363,0.444118615002022,0.526167044205274,2
PDPN,1.56628275537343,0.117282436290873,0.444118615002022,0.413232370705583,2
CDCA3,-1.56612805712703,0.117318640861945,0.444118615002022,-0.189875994969441,2
PPP2R5E,-1.5661109866664,0.117322636458886,0.444118615002022,-0.0922089144600364,2
H4C12,1.56607016874634,0.117332190937417,0.444118615002022,-0.388900963257233,2
ZNF44,-1.56603930953271,0.117339414731342,0.444118615002022,-0.177157032552523,3
PKP3,-1.56574561200826,0.117408183483813,0.444249943251722,0.00231409274765469,2
MAGI1,-1.56531302119428,0.117509531461297,0.444504433050147,-0.0938516162366974,2
ODAM,-1.56475063043671,0.117641391792439,0.444874161131557,0.451930933274542,2
TSG101,1.56439012652898,0.117725977999567,0.445064954229155,-0.0136923427715549,2
ERVK3-2,-1.56346268378401,0.117943806239252,0.445678095434856,-0.797282315646798,2
GLRA1,1.56340858014105,0.117956523302837,0.445678095434856,0.269558461326363,2
TBC1D17,1.56322244564998,0.118000282439793,0.445714276573714,0.631741610605256,2
DNAJC8,1.56297285061854,0.118058980768372,0.44580684918587,0.0260683367434991,2
SMPD2,-1.5627957362732,0.118100647396962,0.445835072787779,-0.0204805074809293,2
NPTX1,1.56253995657624,0.118160840619731,0.445933198506707,0.0565954365571793,2
FKBP15,-1.56208464990682,0.118268048524455,0.445995844144603,0.0068913017523498,2
EPB41L5,-1.5619816942583,0.118292301350081,0.445995844144603,-0.2172907885033,3
DAXX,-1.56190913030411,0.118309397276465,0.445995844144603,0.198893023195593,2
THRA,-1.56186716974252,0.118319283987327,0.445995844144603,0.364120017169831,2
ROGDI,1.56174334222682,0.118348463896029,0.445995844144603,0.25721232139128,3
YARS2,-1.56156140708705,0.118391347082628,0.446028539326898,-0.307311552798862,2
PPIB,-1.56123856248635,0.118467473457947,0.446186420109234,-0.134806236782286,3
RFPL2,1.56105142737346,0.118511617266765,0.446195078807069,0.0753444488787747,2
RRN3,-1.56090841133522,0.118545362402271,0.446195078807069,-0.275627427731301,3
VRTN,-1.56079370777523,0.118572432553608,0.446195078807069,0.0423607053713397,2
COA4,-1.56053842559964,0.118632696792204,0.446272367889241,-0.0593411559422162,3
YIPF1,-1.56033271560565,0.11868127604029,0.446272367889241,-0.0397473947389944,2
GTF3A,1.55983616722346,0.118798602212781,0.446272367889241,-0.143455033262856,2
CCDC22,-1.55980456208868,0.118806073060403,0.446272367889241,0.0929992400305064,2
LOXL1,-1.55974917182927,0.118819167143621,0.446272367889241,0.13236374637928,2
PALM,-1.55972504974413,0.118824869882342,0.446272367889241,0.263518731061393,2
TMEM158,1.55969255137432,0.11883255321048,0.446272367889241,0.585532239665724,3
MYO9B,1.55939531310202,0.118902844936398,0.446407772855081,0.5575883773071,3
JCAD,-1.55917552396745,0.118954842234077,0.446474435201533,-0.104095605338408,2
RASA4,-1.55888552704152,0.119023476429446,0.446519137050183,-0.0700709974807264,2
CROCCP2,1.55882783241461,0.119037134841803,0.446519137050183,-0.153853291579083,2
SP1,-1.55868742776151,0.119070378852007,0.446519137050183,0.0582385954079893,2
GUSBP15,-1.55854659397644,0.119103731778552,0.446519137050183,-0.106563305536022,2
PAPSS2,-1.5581826207932,0.119189963553012,0.446665022399463,-0.401645878805569,2
LILRA5,1.55803513354708,0.119224919853263,0.446665022399463,0.0962800108107479,2
PITX2,1.55774320635552,0.119294133894266,0.446665022399463,0.0736431076355716,2
PPT2,1.55772861149309,0.119297595067598,0.446665022399463,0.21612328474838,3
EPX,1.55756507251984,0.119336383735406,0.446665022399463,0.271801798575697,2
NPHP4,1.55746394598344,0.119360374177214,0.446665022399463,0.0279027259187307,2
HERC4,-1.5573709566981,0.119382437538318,0.446665022399463,-0.148128414190364,3
DRAP1,1.55719425005393,0.119424373136962,0.44669374679657,0.725137275092022,2
SMARCC2,-1.55695429603182,0.119481336928815,0.446778649903877,0.109146394463227,2
ITGBL1,-1.55652324057435,0.119583720638562,0.447033295127929,-0.176638226360177,2
ANKRD6,-1.55632642931381,0.119630489831585,0.447079953257103,-0.303725670101722,2
HMBS,1.5557393099577,0.119770094921953,0.447347963322776,0.0471562210681494,2
NPAP1,1.55567585658774,0.119785190485714,0.447347963322776,0.315893712096745,3
GLG1,-1.55559205223063,0.11980512983535,0.447347963322776,0.147359925397757,2
ZNF750,1.55529217880489,0.119876499223268,0.447465975037389,0.280991319313901,3
PIN4,1.55517091276701,0.119905369796812,0.447465975037389,0.00974737629843507,2
RECQL,-1.55495232670325,0.119957423719241,0.447532145314789,-0.170148723239896,2
FSTL4,1.55412706326535,0.120154110891778,0.448113339312953,0.619306271971145,2
GTPBP3,1.55396517968225,0.120192722633858,0.448113339312953,0.0990749939934386,2
REV3L,-1.553866308992,0.120216309603245,0.448113339312953,-0.22033524199948,3
CKB,-1.55357982365195,0.120284675104824,0.448155611684667,0.0860012745196754,2
CCDC70,1.55349776921393,0.120304261792927,0.448155611684667,0.135514369016306,3
MMD,1.553319682057,0.120346780425396,0.448155611684667,0.36029729375923,3
TEK,1.55310451947798,0.120398166574269,0.448155611684667,-0.543211136025257,2
NDUFA8,1.5530989284106,0.120399502088457,0.448155611684667,0.0113521710360564,2
PRDM12,-1.55278272667047,0.120475050712374,0.448259637230184,0.269403613970806,2
HCN2,-1.55269421149441,0.120496205881724,0.448259637230184,0.239917240589328,2
SLC28A1,1.55168366538509,0.120737933034692,0.449030778334099,0.373938976433749,3
ZNF32,1.55059875705847,0.120997870207443,0.449698434601341,-0.019377468568511,2
CCNH,1.55049070904043,0.121023781785636,0.449698434601341,-0.0066184856674015,2
TPX2,1.55037781362159,0.121050860482954,0.449698434601341,0.170277599450479,2
ADAM30,1.55035884327312,0.121055411109035,0.449698434601341,0.192523234322822,2
CREM,-1.54982695376843,0.121183055785247,0.450040631769263,0.00226485322613208,2
TLX1,-1.5496033955475,0.121236737474731,0.450040631769263,0.327264965716428,2
DUOX1,-1.54954370859307,0.121251072889441,0.450040631769263,0.108428338176936,2
CCNB1,-1.54918408844674,0.121337473326573,0.450233157286621,-0.269448374651411,3
THYN1,1.54818394458247,0.121578015816453,0.450997367917704,0.202736456675758,3
ACYP1,-1.54755988051194,0.121728296982737,0.451369517860416,-0.201170510487366,3
