gene,meta_Z_OA,meta_P_OA,meta_FDR_OA,mean_logFC_OA,meta_Z_OP,meta_P_OP,meta_FDR_OP,mean_logFC_OP,same_direction,shared_score
SPRR1B,0.911468316206547,0.362048672313795,0.592732609629224,0.11379160114226,0.282577957957854,0.777500378950176,0.928238267252228,0.0341327874598325,TRUE,0.550532431430707
SHH,-0.668818197295571,0.503611457180052,0.710443469127861,-0.0138089145329514,0.584021855052752,0.559205608232172,0.827167546879103,0.203035826885804,FALSE,0.55033287996851
GATA2,1.05998739505078,0.289150333852461,0.520985195659719,0.0703464420819987,0.0320457838585236,0.974435539390225,0.99316308022605,0.123593485627512,TRUE,0.550123186857748
MARCO,0.654476654026711,0.512804763270981,0.717844046267057,0.824372686011532,0.598518298167238,0.549494153223177,0.822943014956813,0.0299909636274238,TRUE,0.550084873690007
CASR,0.590609991049387,0.554781769011021,0.748813278627645,0.017834990232914,0.661707854752441,0.508158469782928,0.799141138327631,0.164909371450927,TRUE,0.549878650331774
RPS15A,-0.693688490304779,0.487877585561679,0.699781394135873,-0.0123210846168299,-0.556259320617381,0.578033591906878,0.836565576032979,-0.0670406621011534,TRUE,0.54973605632199
GDI1,-0.402575892019971,0.687260247730341,0.83010713469076,-0.0792637059937447,0.823154158939263,0.410420333499733,0.735083105406561,0.529465053917355,FALSE,0.549649906739689
TYK2,-1.05003751607872,0.293700864538547,0.52509860952645,0.0283655426469907,-0.0484659150524487,0.961344928352259,0.98910146176725,0.0823871323460394,TRUE,0.549215535592605
REN,-0.887189273212074,0.374977006617663,0.60466205527574,0.106538593793054,0.314707502335816,0.752983747458021,0.917066411229601,0.110299169052743,FALSE,0.549209759744316
TCTN2,1.05812093437406,0.290000311484012,0.52173711608939,0.168803968439,-0.0316433548692859,0.974756468500782,0.99316308022605,0.0989478362565178,FALSE,0.548705409777783
TRPC5,0.588133433974056,0.55644273323635,0.749953514824433,0.300044487953684,-0.661538898324868,0.508266777537828,0.799141138327631,-0.0832815934350034,FALSE,0.548487801495162
LTB,0.69674898643061,0.485959896333809,0.698050372366729,0.220832469314918,-0.550471942844166,0.581995715799564,0.838035341135638,-0.117066478412731,FALSE,0.548479781532351
UPB1,0.139616083151866,0.888963332571117,0.944623156628381,-0.0460844195346819,-0.99784492624606,0.318354561172323,0.662362393988498,-0.00930076324369352,FALSE,0.548205075653098
MBOAT2,-0.662186564436453,0.507851663694618,0.714670879524396,0.0271617536124877,0.586343244589152,0.557644875929522,0.826653771125245,0.118513816672876,FALSE,0.547905404561682
LIME1,0.918107323718387,0.358562681014715,0.58943754075802,0.625602470263434,-0.266038069336016,0.79020989005362,0.933308004286853,-0.559709821124386,FALSE,0.547692452634794
SLC22A5,-0.958635744741919,0.337742278772048,0.571246217075497,-0.00587876784509954,0.203096295211366,0.839059767381637,0.949037153616339,-0.12653815840602,FALSE,0.54762167340539
CBX3,0.185985746482195,0.852455938972552,0.926288004504729,0.0763108340913792,-0.968531661682604,0.332778914354098,0.672625060341511,-0.263415833804878,FALSE,0.547172258622104
CSNK2B,0.339483024090399,0.734245883411932,0.858808731948247,-0.00037187392562857,0.866051283384407,0.386462039139825,0.716796376720367,0.318396853075729,TRUE,0.547051638623182
ALOX12,-0.642533160069467,0.520527065899702,0.723274165918264,0.0772296625064425,-0.604937074579457,0.545220807947243,0.821786795620026,-0.432456807792893,TRUE,0.546984261505907
ZNF76,-0.330059858221494,0.741354733612273,0.862568098871,-0.011350748755135,-0.872311366852041,0.38303853825298,0.713173701926921,-0.0527145685655929,TRUE,0.54673146370884
PSMA3,-0.650281311572537,0.515510526501569,0.719636173077015,-0.0307100894230233,0.596184072369783,0.551052264790101,0.82310295997443,0.0694842384208056,FALSE,0.546569670531756
RPS7,0.83362738567283,0.404490988548366,0.628497073978632,-0.0106885629650445,0.381625170590062,0.702739411375475,0.898069581285958,-0.0344663029649407,TRUE,0.546296838836798
SNTG2,0.801330069217325,0.422940587605735,0.644100412705082,0.245575637182622,-0.423065420978232,0.67224753043036,0.882811516696693,0.337420151507469,FALSE,0.546191420194634
ANG,-0.115756511715735,0.907845517363581,0.955309059607157,-0.259593702778008,1.00852565796148,0.31320217647055,0.657941546479702,0.0890582254379363,FALSE,0.546163275135382
PROS1,1.01951607776823,0.307958024235086,0.540552905067825,0.470547107044837,0.0959455632738088,0.923563807215527,0.978424671698981,-0.110840402671829,TRUE,0.546041569966929
UPK3A,0.68651978365889,0.492385393182203,0.702718584414987,0.342098360742183,-0.556128536862932,0.57812298809417,0.836565576032979,0.0492118445345241,FALSE,0.545674600363823
SLC12A1,-0.0833776042517535,0.933551295714303,0.968333118523709,0.362533360029776,1.02571904460988,0.305024034788111,0.653151470534229,0.433556171479546,FALSE,0.545527752414489
PLAG1,0.644769462904496,0.51907659392669,0.722187708345712,-0.0208067354717319,0.599039615224952,0.549146467515329,0.822943014956813,-0.104368559795263,TRUE,0.5450803595111
DAPP1,-0.104028618873182,0.917146637204001,0.96020525857527,0.239434359646265,1.01340885881309,0.310864909728828,0.655395333406279,0.0846008202840222,FALSE,0.544989520105451
GATC,0.0333692966491285,0.973380093745586,0.987179773978014,0.0668400302700572,-1.05116619634757,0.293182265588645,0.641948540891745,-0.03143851301117,FALSE,0.544579843042826
STRN3,-0.0392250798864201,0.968710938162401,0.984755839829687,0.0874788525909516,1.04806053556672,0.294610717222092,0.643455467648049,-0.209029121573208,FALSE,0.544557255043962
SLC4A4,-0.685555208253981,0.492993635233547,0.70282661314409,0.0826710049975305,-0.554949932368119,0.57892890695849,0.83673151033902,-0.0129938829808413,TRUE,0.544533452410439
FAM120A,1.04514122128743,0.29595770487996,0.527547050843783,0.182957864637783,-0.0446464315396379,0.964389132518944,0.9897147632834,-0.194144443265614,FALSE,0.544518041476521
RXRG,-0.227864409073354,0.819751652319615,0.907972359568517,-0.0403845966459654,-0.937913158499311,0.348289040362118,0.686187952073054,0.342340227998674,TRUE,0.544377890583271
SPO11,-0.123202606767483,0.90194666139509,0.951936429690463,-0.150432194740308,-1.00104703893888,0.316804067591801,0.661140883055297,0.17309553055849,TRUE,0.5440283956026
FOXL2,0.99794728051541,0.318304923485745,0.552780760384998,-0.00407046490478138,0.128550453029884,0.897713373648216,0.969944040354581,-0.296931567306417,TRUE,0.544018948618887
