gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
MUSK,1.54137118632407,0.123226472544317,0.310960188420113,0.350393199278021,4
KIF18A,1.54132239238337,0.123238341661405,0.310960188420113,0.635938078564635,3
OBSCN,-1.54072524443938,0.123383670112161,0.311254181352536,-0.266540335912722,3
KIF2C,1.54059031482437,0.123416526583547,0.311264375474079,0.0964373163903037,4
AKT3,-1.54031947264652,0.123482499499497,0.311358067132019,-0.376415922907785,3
PNPLA2,-1.54004652615168,0.123549012844363,0.311453077420025,-0.531205775954227,3
FURIN,1.5396950801273,0.123634696642179,0.311596358639481,-0.0468209033392166,2
ABCC1,-1.5389771180936,0.123809882517256,0.311965092360952,-0.157156156266502,2
ACRV1,1.53844610024354,0.123939577783372,0.312154044591466,0.359444017360973,3
GLO1,1.5384334540454,0.123942667770117,0.312154044591466,0.11566314471847,4
RBL2,-1.53796764682608,0.124056525541396,0.312315304311449,-0.364286862321376,3
PHACTR1,1.53793494322055,0.124064522384783,0.312315304311449,0.299757732175516,3
POMT2,1.53769610466159,0.124122936537174,0.312389552766672,0.103837938997286,2
SLN,1.53741342762095,0.124192100251751,0.31245859181434,0.278139268760824,2
RMND1,-1.53734756240169,0.124208220075058,0.31245859181434,-0.22376805240579,4
HSPD1,-1.53696853521025,0.124301014741992,0.312611227776793,-0.205007390327468,3
SH2B3,1.5368633503862,0.124326776016395,0.312611227776793,0.148614248325068,3
UBA2,-1.53644367044917,0.124429603124717,0.312731611301501,-0.212216502675896,3
FGF17,-1.53635094772343,0.124452330357745,0.312731611301501,0.0898727444919013,3
ELF4,1.53631351315183,0.124461506849209,0.312731611301501,-0.00490573756602793,2
NUDT21,-1.5360850424658,0.124517524254607,0.312799603953085,-0.278143107323736,3
SCAMP2,1.53554592838741,0.124649784463003,0.313059049469741,0.0657314804163986,3
RGS10,-1.5350706164057,0.124766483035447,0.313279300267061,-0.162209383656223,2
PI4KB,-1.5347829535221,0.124837151383993,0.313383897106645,-0.0386555983866993,3
YBX1,1.5342401391457,0.124970586219391,0.313645974057124,0.182645469310176,4
KHDRBS3,1.53389410932303,0.125055705421116,0.313715314971418,0.407368928373185,3
TM2D1,1.53379725566024,0.125079538358969,0.313715314971418,0.345662329493799,4
PMPCA,-1.53365562007989,0.12511439723087,0.313715314971418,0.0132299128020267,2
ZFYVE9,-1.53357980955892,0.125133058572325,0.313715314971418,-0.139529272912345,3
TMEM110,1.53353769463234,0.125143426422129,0.313715314971418,0.254395133951578,3
NRIP3,1.53271502434622,0.125346085665466,0.314150444862729,0.262903018287795,4
MAGED2,1.53191573520748,0.125543230020639,0.314516177015663,0.240083898255959,3
PROX1,-1.53188730886105,0.125550245814807,0.314516177015663,-0.394334362072885,3
NRXN1,1.53167128220461,0.125603572483372,0.314576811955805,0.559445693907241,3
BAD,1.53142181413286,0.125665176198196,0.314628792118664,0.140231354358975,4
PAX8,1.53135135030909,0.12568258081763,0.314628792118664,0.0933971048580852,3
HPX,1.53085418148922,0.125805435285591,0.314853322756762,0.41172429794407,3
CALML4,1.53075252119962,0.125830567889367,0.314853322756762,0.208431981423794,4
C2,1.53056411564658,0.125877156124387,0.314882275523403,0.454501006651818,2
CCL25,-1.53046997647902,0.125900439546897,0.314882275523403,-0.190730330262676,3
AP3B1,1.5287923081683,0.126315939826309,0.315756508425208,0.0883641631426414,2
BCAS1,1.52878528899082,0.126317680473676,0.315756508425208,0.338488991294949,4
CARD8,1.52866066207261,0.126348589130486,0.315756508425208,0.200193400878476,3
OSBPL2,-1.5285867926331,0.12636691223127,0.315756508425208,0.0143433941021689,3
HSDL2,-1.52805910402227,0.126497864055708,0.316010621537871,-0.270632622328637,4
GUCY2F,1.52775163989283,0.126574213417145,0.316128243544971,0.227877727523327,4
SLC25A40,1.52750435122246,0.126635646061724,0.316208564206829,0.190175302700872,4
TAS2R3,1.52735460191318,0.126672858790351,0.316209649669111,0.368414540841293,3
HOOK1,-1.52725272098819,0.126698181082998,0.316209649669111,-0.215170025832393,4
MOBP,1.52714925842954,0.12672390052005,0.316209649669111,0.592313271584861,3
FAHD2A,1.52623657316081,0.126950958218424,0.316703060202175,0.109922503754304,3
TMED1,-1.52585436414001,0.127046138129659,0.316867324884916,-0.173050768419112,4
AP3M2,-1.5256364317361,0.12710043377792,0.31692956732897,-0.096220304578614,2
UTRN,-1.52394546519073,0.127522334762045,0.317908206808125,-0.0134605143775706,3
TTN,-1.52381759123355,0.127554283933932,0.317914484322643,-0.454386529123152,3
CAMK2G,-1.52362784578106,0.127601703106812,0.317959307257158,0.0615162218993668,3
CDC73,-1.52326155674719,0.127693280963901,0.318114119227873,-0.0977946526946745,4
RAB11A,1.52303561193597,0.127749796106705,0.318181530446074,0.132545558574959,3
ANXA6,-1.52266537112004,0.127842445786153,0.318338888746433,-0.044761327801357,3
DIO3,1.52207992650176,0.127989055055318,0.318630507653271,0.127636870558023,2
FSCN2,-1.5217848286309,0.128063004127175,0.318741145295334,-0.106338390261271,3
CPSF1,-1.52143332424716,0.128151131549318,0.318887012899272,-0.0175498285218024,2
TRIM31,-1.52128627150977,0.128188013862239,0.318905326057096,-0.189515354871691,2
