gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
SLMAP,0.322755145787296,7.24649247090445,2.97768318587463,0.00560385688809362,0.94624455191332,-3.81589990509965,GSE7158,OP
RCCD1,-0.358608390765815,5.59801162263334,-2.97657225253845,0.00561960046914269,0.94624455191332,-3.81645202148056,GSE7158,OP
LINC01756,0.774128007235097,3.25693247840649,2.97308071428206,0.00566935357431528,0.94624455191332,-3.81818698975295,GSE7158,OP
PHOSPHO1,-0.824829910243405,2.65723864435438,-2.96777528336581,0.0057457520643084,0.94624455191332,-3.82082249909365,GSE7158,OP
LRRC46,0.849638812439817,3.43300256457137,2.962520457421,0.00582238059645125,0.94624455191332,-3.82343191540304,GSE7158,OP
NCF1,0.353598824688949,9.18004971568877,2.96146948090201,0.00583782194559741,0.94624455191332,-3.82395368924252,GSE7158,OP
ONECUT3,0.670585438819528,4.68582690839521,2.95898141883933,0.00587453192491332,0.94624455191332,-3.82518877292088,GSE7158,OP
IGLV2-5,-0.770238547304587,4.92557875636047,-2.95379713420015,0.00595172518599211,0.94624455191332,-3.8277615720571,GSE7158,OP
LOC100506403,-0.835221070987705,2.67166071145766,-2.95365057936257,0.00595392123424294,0.94624455191332,-3.82783428883235,GSE7158,OP
NRG1,0.864371299370533,6.91150088506318,2.97921532121952,0.00601956215309737,0.94624455191332,-3.83599532173473,GSE7158,OP
UBE2G1,-0.234099638242249,7.93294314744744,-2.94819472070195,0.00603622128745497,0.94624455191332,-3.83054080130109,GSE7158,OP
LINC03086,0.613715061859738,2.7303845751631,2.94553931507322,0.00607666498006996,0.94624455191332,-3.8318576935356,GSE7158,OP
PRSS50,-0.671644959000915,4.73203482812177,-2.94328616193289,0.00611118265138241,0.94624455191332,-3.83297489696874,GSE7158,OP
LINC02059,0.555589297645332,1.35996464625993,2.93877855746978,0.00618079433879224,0.94624455191332,-3.83520939200232,GSE7158,OP
CCDC91,0.272422130998061,6.22213008411161,2.93456217514927,0.00624658567082012,0.94624455191332,-3.83729884731725,GSE7158,OP
EXTL3,0.864064563581971,4.67605427770736,2.93441426474404,0.00624890558449289,0.94624455191332,-3.83737213332593,GSE7158,OP
SAA3P,-0.903603534622455,3.75311528231039,-2.93254481825738,0.00627829726131155,0.94624455191332,-3.83829832850775,GSE7158,OP
LOC100996756,1.40068780457295,3.79753050164923,2.92282042746979,0.00643330135663315,0.94624455191332,-3.84311404971326,GSE7158,OP
APOL6,0.357123095830401,7.20046358368908,2.92134251260922,0.00645717259289552,0.94624455191332,-3.84384563068346,GSE7158,OP
ZNF264,-0.392794515840897,5.89599145085012,-2.92086785711847,0.00646485692262035,0.94624455191332,-3.84408057167633,GSE7158,OP
C1GALT1,0.442634581689075,7.33769801641778,2.91981531224275,0.00648192764495964,0.94624455191332,-3.8446015207664,GSE7158,OP
PRRC1,-0.365004217331662,6.70037793145008,-2.9191910320102,0.00649207262404124,0.94624455191332,-3.84491048347361,GSE7158,OP
METTL3,-0.302172099970747,7.21931216664473,-2.91594676400969,0.00654503575016066,0.94624455191332,-3.84651586382046,GSE7158,OP
MARCKS,0.368159353201498,10.2023572839766,2.91306425241681,0.0065924347256697,0.94624455191332,-3.84794189298816,GSE7158,OP
VSIG1,-0.597915751821203,3.82185313171524,-2.91267664121074,0.00659883309479342,0.94624455191332,-3.84813362647099,GSE7158,OP
ZNF442,-0.792862818348406,2.89070037712811,-2.90601197314962,0.00670976789594762,0.94624455191332,-3.85142941356022,GSE7158,OP
CXCL11,0.982062233457903,3.48318512663487,2.90427488702951,0.00673896951995196,0.94624455191332,-3.85228814401745,GSE7158,OP
IGLV1-50,-0.942417363076648,4.05729113876804,-2.90007434056598,0.00681007935197163,0.94624455191332,-3.85436419408241,GSE7158,OP
GPRC6A,-0.902618639722911,3.7990599653963,-2.89652918229651,0.00687064382832468,0.94624455191332,-3.8561157811428,GSE7158,OP
CAPSL-DT,-0.699642860330334,4.65528964878482,-2.8943278789132,0.00690850522903084,0.94624455191332,-3.85720314384548,GSE7158,OP
OIP5-AS1,-0.267119932793227,8.43994376589034,-2.89195752283579,0.00694949394678535,0.94624455191332,-3.85837379325121,GSE7158,OP
UBN1,0.336561285633743,7.04362240651359,2.89083750447881,0.00696894112771804,0.94624455191332,-3.85892685814902,GSE7158,OP
LPXN,-0.207494485169353,8.69447665969331,-2.89056504861472,0.00697367959609626,0.94624455191332,-3.85906138909376,GSE7158,OP
EPHB2,0.431035641225706,5.57024891267871,2.89034399058279,0.00697752639854877,0.94624455191332,-3.85917053903058,GSE7158,OP
GCN1,-0.259844746192581,6.41102669962764,-2.88926673911657,0.00699630109996298,0.94624455191332,-3.85970241576563,GSE7158,OP
CTRB1,0.735531289370337,3.33235879055091,2.88765843354458,0.00702441973622311,0.94624455191332,-3.86049640423182,GSE7158,OP
DSC2,0.404027921284823,6.48864386643921,2.88386654667857,0.00709113651647534,0.94624455191332,-3.86236796307075,GSE7158,OP
OR8D2,-0.89590661129434,3.01582279014471,-2.88184397999197,0.00712696629233663,0.94624455191332,-3.86336599725454,GSE7158,OP
ACSM2A,0.609338189152617,2.33962715205298,2.87217453345692,0.00730062751771662,0.94624455191332,-3.86813502273762,GSE7158,OP
VSIG10L,0.830656595983142,2.68642335851848,2.86943204672172,0.00735060204475179,0.94624455191332,-3.86948691627242,GSE7158,OP
IGHV3-73,-0.945005346031805,2.34354041423791,-2.8692573604056,0.00735379611473403,0.94624455191332,-3.86957301610319,GSE7158,OP
KIF13B,-1.01368918495231,5.05453112142314,-2.87057637745813,0.00737931177237826,0.94624455191332,-3.87076753207403,GSE7158,OP
GRP,-0.606660242457931,2.41903824709152,-2.86610071780604,0.00741173949022862,0.94624455191332,-3.87112864599261,GSE7158,OP
MT1G,0.408910982031107,6.58024229885339,2.86301107438956,0.00746886861504927,0.94624455191332,-3.87265084498797,GSE7158,OP
BMP8B,-0.580883058408366,4.79712965363148,-2.86091610759489,0.00750784093755834,0.94624455191332,-3.87368275513554,GSE7158,OP
CNFN,-0.420285217408558,1.83145879121561,-2.86066570103367,0.00751251198117497,0.94624455191332,-3.87380608430184,GSE7158,OP
RGS7BP,-0.991360436644432,2.24434759998548,-2.86031178225897,0.00751911858501686,0.94624455191332,-3.8739803902341,GSE7158,OP
IFI44L,1.14143104094731,7.62443361014778,2.90116873234027,0.00758507570789403,0.94624455191332,-3.88388272290002,GSE7158,OP
LINC00900,0.814151779401715,2.90542875016496,2.85447838387296,0.00762880067474388,0.94624455191332,-3.87685257048358,GSE7158,OP
RNF34,-0.392123055526862,7.00614374416248,-2.85418362637189,0.00763438255250019,0.94624455191332,-3.87699766032844,GSE7158,OP
PSTPIP2,0.351096136711271,7.57794284742203,2.85156005884599,0.00768423494521181,0.94624455191332,-3.87828890315121,GSE7158,OP
LTBP4,0.537584930479573,5.23473609792426,2.8506400250821,0.00770178953546622,0.94624455191332,-3.87874164504524,GSE7158,OP
IL15RA,0.292954973895067,6.43357317010826,2.84794774530062,0.00775337597072815,0.94624455191332,-3.88006628157158,GSE7158,OP
MAML3-AS1,0.951815787014403,2.64004007795809,2.84763102455035,0.00775946591386576,0.94624455191332,-3.88022209119278,GSE7158,OP
