key,pmid,doi,title,authors,journal,year,volume,issue,pages,cited_by,loose_match,query
msc_osteoporosis_differentiation,23283437,10.4067/s0716-97602012000300009,"In osteoporosis, differentiation of mesenchymal stem cells (MSCs) improves bone marrow adipogenesis","Pino AM, Rosen CJ, Rodríguez JP.",Biological research,2012,45,3,279-287,165,,"(TITLE:""mesenchymal stem cells"" AND TITLE:""osteoporosis"" AND (TITLE:""differentiation"" OR TITLE:""adipogenic"")) AND SRC:MED"
oa_chondrocyte_scrnaseq,38868774,10.3389/fimmu.2024.1407679,Single-cell RNA sequencing reveals different chondrocyte states in femoral cartilage between osteoarthritis and healthy individuals,"Sun Z, Yan M, Wang J, Zhang H, Ji X, Xiao Y, Wang T, Yu T.",Frontiers in immunology,2024,15,,1407679,12,,"(TITLE:""single-cell RNA"" AND TITLE:""osteoarthritis"" AND TITLE:""cartilage"") AND SRC:MED"
chondrocyte_hypertrophy_oa,22178514,10.1016/j.joca.2011.12.003,Chondrocyte hypertrophy and osteoarthritis: role in initiation and progression of cartilage degeneration?,"van der Kraan PM, van den Berg WB.",Osteoarthritis and cartilage,2012,20,3,223-232,479,,"(TITLE:""chondrocyte hypertrophy"" AND TITLE:""osteoarthritis"") AND SRC:MED"
stouffer_meta_zscore,9520501,10.1093/bioinformatics/14.1.48,Combining evidence using p-values: application to sequence homology searches,"Bailey TL, Gribskov M.","Bioinformatics (Oxford, England)",1998,14,1,48-54,879,,"(TITLE:""combining"" AND TITLE:""p-values"") AND SRC:MED"
gwas_catalog,30445434,10.1093/nar/gky1120,"The NHGRI-EBI GWAS Catalog of published genome-wide association studies, targeted arrays and summary statistics 2019","Buniello A, MacArthur JAL, Cerezo M, Harris LW, Hayhurst J, Malangone C, McMahon A, Morales J, Mountjoy E, Sollis E, Suveges D, Vrousgou O, Whetzel PL, Amode R, Guillen JA, Riat HS, Trevanion SJ, Hall P, Junkins H, Flicek P, Burdett T, Hindorff LA, Cunningham F, Parkinson H.",Nucleic acids research,2019,47,D1,D1005-D1012,3356,,"TITLE:""The NHGRI-EBI GWAS Catalog"" AND SRC:MED"
batch_effect_combat,16632515,10.1093/biostatistics/kxj037,Adjusting batch effects in microarray expression data using empirical Bayes methods,"Johnson WE, Li C, Rabinovic A.","Biostatistics (Oxford, England)",2007,8,1,118-127,6345,,"TITLE:""Adjusting batch effects in microarray expression data using empirical Bayes methods"" AND SRC:MED"
bone_cartilage_crosstalk,27652499,10.1038/nrrheum.2016.148,"Changes in the osteochondral unit during osteoarthritis: structure, function and cartilage-bone crosstalk","Goldring SR, Goldring MB.",Nature reviews. Rheumatology,2016,12,11,632-644,608,,"(TITLE:""crosstalk"" AND TITLE:""bone"" AND TITLE:""cartilage"") AND SRC:MED"
spliceosome_bone_osteoblast,30696066,10.3390/ijms20030551,Mettl3 Regulates Osteogenic Differentiation and Alternative Splicing of Vegfa in Bone Marrow Mesenchymal Stem Cells,"Tian C, Huang Y, Li Q, Feng Z, Xu Q.",International journal of molecular sciences,2019,20,3,E551,137,,"((TITLE:""splicing"" OR TITLE:""spliceosome"") AND (TITLE:""osteoblast"" OR TITLE:""bone"")) AND SRC:MED"
nuclear_speckle,12923522,10.1038/nrm1172,Nuclear speckles: a model for nuclear organelles,"Lamond AI, Spector DL.",Nature reviews. Molecular cell biology,2003,4,8,605-612,800,,"TITLE:""nuclear speckles"" AND SRC:MED"
geo_database,23193258,10.1093/nar/gks1193,NCBI GEO: archive for functional genomics data sets--update,"Barrett T, Wilhite SE, Ledoux P, Evangelista C, Kim IF, Tomashevsky M, Marshall KA, Phillippy KH, Sherman PM, Holko M, Yefanov A, Lee H, Zhang N, Robertson CL, Serova N, Davis S, Soboleva A.",Nucleic acids research,2013,41,Database issue,D991-5,8114,,"TITLE:""NCBI GEO: archive for functional genomics data sets"" AND SRC:MED"
op_monocyte_transcriptome,38652170,10.1093/jbmr/zjae065,Single-cell RNA sequencing reveals that an imbalance in monocyte subsets rather than changes in gene expression patterns is a feature of postmenopausal osteoporosis,"Tao L, Jiang W, Li H, Wang X, Tian Z, Yang K, Zhu Y.",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2024,39,7,980-993,14,,"(TITLE:""monocyte"" AND TITLE:""osteoporosis"" AND (TITLE:""gene expression"" OR TITLE:""transcriptom"")) AND SRC:MED"
osteoclast_monocyte_precursor,8756585,10.1210/endo.137.9.8756585,The human osteoclast precursor circulates in the monocyte fraction,"Fujikawa Y, Quinn JM, Sabokbar A, McGee JO, Athanasou NA.",Endocrinology,1996,137,9,4058-4060,265,,"(TITLE:""osteoclast"" AND TITLE:""monocyte"" AND TITLE:""precursor"") AND SRC:MED"
